# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "8" "-p" "-a" "genes.gtf" "-o" "ns024.12.counts.txt" "./bam/A1.bam" "./bam/A2.bam" "./bam/B1.bam" "./bam/B2.bam" 
Geneid	Chr	Start	End	Strand	Length	./bam/A1.bam	./bam/A2.bam	./bam/B1.bam	./bam/B2.bam
YHR172W	VIII	448335	450806	+	2472	561	628	798	1143
YHR173C	VIII	450815	451153	-	339	94	69	88	169
YHR174W	VIII	451327	452640	+	1314	234213	173294	324429	385692
YHR175W	VIII	452872	453441	+	570	689	539	812	1379
YHR175W-A	VIII	453558	453707	+	150	47	30	36	81
YHR176W	VIII	454229	455527	+	1299	143	255	162	550
YHR177W	VIII	456591	457952	+	1362	236	190	310	465
YHR178W	VIII	459299	461530	+	2232	479	485	575	881
YHR179W	VIII	462502	463704	+	1203	8615	6815	10911	14176
YHR180W	VIII	465178	465669	+	492	96	116	115	217
YHR180W-A	VIII	466932	467114	+	183	0	0	0	0
YHR180C-B	VIII	466958	467062	-	105	0	0	0	0
tT(UGU)H	VIII	466990	467061	+	72	0	0	0	0
YHR181W	VIII	467228	467914	+	687	576	675	833	1422
YHR182W	VIII	468219	470576	+	2358	666	566	757	1068
YHR182C-A	VIII	470939	471412	-	474	1	0	0	0
YHR183W	VIII	470960	472429	+	1470	11540	8921	13787	18054
YHR184W	VIII	472744	474459	+	1716	70	116	92	178
YHR185C	VIII	474627	475340	-	714	7	8	4	14
tV(CAC)H	VIII	475706	475778	-	73	0	2	0	0
YHR186C	VIII	475999	480672	-	4674	1291	1163	1504	2434
YHR187W	VIII	480990	481919	+	930	765	701	873	1271
YHR188C	VIII	482005	483837	-	1833	2231	2047	2889	4108
YHR189W	VIII	484028	484600	+	573	155	152	175	322
YHR190W	VIII	484845	486179	+	1335	6218	5784	7450	11576
YHR191C	VIII	486230	486631	-	402	220	215	270	391
YHR192W	VIII	486826	487662	+	837	627	626	721	1137
YHR193C	VIII	487712	488236	-	525	14942	10064	18402	21696
YHR193C-A	VIII	488653	489027	-	375	0	0	0	0
YHR194W	VIII	488657	490396	+	1740	475	478	479	997
YHR195W	VIII	490747	491712	+	966	1013	973	1015	1780
YHR196W	VIII	491931	493658	+	1728	3036	2038	3633	3875
YHR197W	VIII	493896	496187	+	2292	2142	1351	2648	2670
YHR198C	VIII	496315	497280	-	966	559	674	649	1251
YHR199C	VIII	497490	498422	-	933	1038	907	1246	1885
YHR199C-A	VIII;VIII	498571;498787	498719;498859	-;-	222	125	117	186	218
YHR200W	VIII	499079	499885	+	807	2761	3004	3392	6075
YHR201C	VIII	499950	501143	-	1194	1883	1831	2370	3441
YHR202W	VIII	502388	504196	+	1809	236	278	303	533
YHR203C	VIII;VIII	504476;505517	505247;505530	-;-	786	33024	22891	42132	47117
YHR204W	VIII	506319	508709	+	2391	1497	1111	1846	2041
YHR205W	VIII	509363	511837	+	2475	2630	2096	3101	4806
YHR206W	VIII	512732	514600	+	1869	2154	1735	2754	3333
YHR207C	VIII	514905	516485	-	1581	1023	1047	1222	1978
YHR208W	VIII	517532	518713	+	1182	33155	33303	41843	68610
YHR209W	VIII	519437	520312	+	876	244	421	261	866
YHR210C	VIII	520712	521737	-	1026	136	129	161	262
YHR211W	VIII	525392	528619	+	3228	576	544	746	1161
YHR212C	VIII	537759	538094	-	336	3	0	0	1
YHR212W-A	VIII	538742	538945	+	204	6	1	3	5
YHR213W	VIII	539151	539747	+	597	18	12	9	17
YHR213W-A	VIII	540549	540782	+	234	4	3	5	11
YHR213W-B	VIII	540800	541099	+	300	58	48	43	77
YHR214W	VIII	541651	542262	+	612	286	186	323	324
YHR214W-A	VIII	543008	543493	+	486	330	223	478	456
YHR214C-B	VIII;VIII	543964;547931	547929;549346	-;-	5382	695	993	837	1477
YHR214C-C	VIII	547910	549346	-	1437	0	0	0	0
YHR214C-D	VIII	550648	550941	-	294	0	0	0	1
YHR214C-E	VIII	551200	551499	-	300	8	12	2	22
YHR215W	VIII	552099	553502	+	1404	244	186	435	317
YHR216W	VIII	554396	555967	+	1572	2489	2541	2971	4892
YHR217C	VIII	556581	557042	-	462	2	1	4	1
YHR218W	VIII;VIII	558014;558715	558615;559924	+;+	1812	6	10	17	16
YHR218W-A	VIII	559932	560249	+	318	1	1	7	4
YHR219W	VIII	560173	562047	+	1875	129	12	119	22
YHR219C-A	VIII	561199	561681	-	483	0	0	0	0
YJL225C	X;X	466;4970	4581;6130	-;-	5277	234	237	244	401
YJL225W-A	X	829	1311	+	483	0	0	0	0
YJL223C	X	8776	9138	-	363	0	0	1	0
YJL222W-B	X	9346	9483	+	138	0	0	0	0
YJL222W-A	X	9452	9679	+	228	0	0	0	0
YJL222W	X	11475	16124	+	4650	109	136	89	279
YJL221C	X	16767	18536	-	1770	1	0	2	1
YJL220W	X	18243	18695	+	453	2	3	5	14
YJL219W	X	19497	21200	+	1704	36	125	45	271
YJL218W	X	21973	22563	+	591	104	281	144	557
YJL217W	X	23133	23729	+	597	1147	2420	1671	5324
YJL216C	X	24341	26086	-	1746	226	274	246	534
YJL215C	X	26412	26771	-	360	20	46	35	97
YJL214W	X	26887	28596	+	1710	107	178	157	398
YJL213W	X	32163	33158	+	996	561	682	531	1177
YJL212C	X	33850	36249	-	2400	1955	2545	2591	4933
YJL211C	X	36757	37200	-	444	20	46	35	93
YJL210W	X	36919	37734	+	816	439	645	520	1280
YJL209W	X	38005	39969	+	1965	998	1162	970	2109
YJL208C	X	40194	41183	-	990	1467	1710	1645	3441
YJL207C	X	41389	47433	-	6045	2359	3265	2937	5936
YJL206C	X	47659	49935	-	2277	244	441	406	829
YJL205C	X;X	50139;50412	50268;50443	-;-	162	117	218	150	460
YJL204C	X	50629	53151	-	2523	625	1072	773	1950
YJL203W	X	53341	54183	+	843	362	489	362	936
YJL202C	X	53943	54290	-	348	30	57	35	95
YJL201W	X	54379	56178	+	1800	820	1318	1122	2567
YJL200C	X	56444	58813	-	2370	8752	10367	10823	19652
tT(AGU)J	X	59100	59172	-	73	0	0	0	0
YJL199C	X	59856	60182	-	327	52	143	60	325
YJL198W	X	60844	63489	+	2646	2871	2757	3513	5646
YJL197W	X	63805	67569	+	3765	1873	2280	2421	4482
YJL197C-A	X	65805	66086	-	282	0	0	0	0
YJL196C	X	67850	68782	-	933	2505	4848	3170	10443
YJL195C	X	69241	69942	-	702	3	1	4	5
YJL194W	X	69338	70879	+	1542	487	600	552	1156
YJL193W	X	71366	72574	+	1209	609	826	682	1476
YJL192C	X	72710	73414	-	705	1430	2414	1767	4678
YJL191W	X;X	73787;74205	73796;74611	+;+	417	5174	5834	6533	12280
YJL190C	X	74910	75302	-	393	23749	23205	31860	55161
YJL189W	X;X	75933;76325	75938;76474	+;+	156	87	99	89	169
YJL188C	X	76202	76510	-	309	318	363	326	535
YJL187C	X	76803	79262	-	2460	1459	1845	1659	3516
YJL186W	X	80155	81915	+	1761	2555	3616	3032	7377
YJL185C	X	82095	82976	-	882	200	388	244	801
YJL184W	X	83448	83819	+	372	538	786	708	1688
YJL183W	X	84068	85336	+	1269	2074	2738	2683	5391
YJL182C	X	85435	85752	-	318	1	0	0	0
YJL181W	X	85660	87495	+	1836	528	676	550	1227
YJL180C	X	87583	88560	-	978	677	995	760	1964
YJL179W	X	88787	89116	+	330	453	752	670	1670
YJL178C	X	89282	90097	-	816	1785	2466	2083	4903
YJL177W	X;X	90786;91412	91094;91657	+;+	555	17098	19382	23531	41117
YJL176C	X	92053	94530	-	2478	1646	2114	2000	4138
YJL175W	X	94049	94561	+	513	0	4	4	4
YJL174W	X	95092	95922	+	831	2379	4234	2900	7963
YJL173C	X	96161	96529	-	369	551	868	712	2096
YJL172W	X	97737	99467	+	1731	1843	3072	2368	6362
YJL171C	X	99704	100894	-	1191	1208	2447	1295	4353
YJL170C	X	101150	101779	-	630	77	197	108	407
YJL169W	X	102099	102467	+	369	28	29	50	73
YJL168C	X	102227	104428	-	2202	1676	1968	2112	3571
YJL167W	X	105014	106072	+	1059	12168	20003	14457	39878
YJL166W	X	106434	106718	+	285	1419	2280	1553	5219
YJL165C	X	106894	109461	-	2568	1441	2109	1755	4633
YJL164C	X	109966	111159	-	1194	351	1094	354	1824
YJL163C	X	111666	113333	-	1668	197	652	241	1127
YJL162C	X	113878	115629	-	1752	579	763	725	1486
tE(UUC)J	X	115939	116010	-	72	14	6	10	15
YJL161W	X	117245	117787	+	543	39	238	72	421
YJL160C	X	117962	118825	-	864	65	100	34	201
YJL159W	X	120449	121690	+	1242	21647	39609	27073	86055
YJL158C	X	122265	122948	-	684	10974	18692	15401	45811
YJL157C	X	123836	126328	-	2493	3317	3996	3696	7600
YJL156W-A	X	126604	126825	+	222	83	123	115	274
YJL156C	X	126853	128952	-	2100	889	1395	1154	2656
YJL155C	X	129285	130643	-	1359	453	1205	601	2225
YJL154C	X	131101	133935	-	2835	1902	3106	2429	5827
YJL153C	X	134332	135933	-	1602	172	403	188	890
YJL152W	X	136174	136533	+	360	15	50	22	86
YJL151C	X	136372	136773	-	402	711	1472	845	3347
YJL150W	X	137123	137425	+	303	6	8	8	6
YJL149W	X	137379	139370	+	1992	451	1160	595	2151
snR128	X	139566	139691	-	126	42	60	37	130
snR190	X	139761	139950	-	190	19	52	15	62
YJL148W	X	140437	141138	+	702	3854	3848	4563	7403
YJL147C	X	141419	142567	-	1149	269	459	317	810
YJL146W	X	143292	144701	+	1410	689	971	649	1960
YJL145W	X	145160	146044	+	885	1875	2549	2222	4918
YJL144W	X	146359	146673	+	315	95	408	105	725
YJL143W	X	147101	147577	+	477	4325	6264	4769	10887
YJL142C	X	147819	148211	-	393	63	83	53	188
YJL141C	X	147967	150390	-	2424	718	1821	946	3463
YJL140W	X	150961	151626	+	666	3048	3983	3448	8058
YJL139C	X	151713	152999	-	1287	484	748	586	1465
YJL138C	X	153504	154691	-	1188	16030	17486	20980	34917
YJL137C	X	154985	156127	-	1143	312	498	270	1136
YJL136W-A	X	156169	156252	+	84	2	2	2	9
YJL136C	X;X	156550;157250	156789;157273	-;-	264	15838	18028	20425	43323
YJL135W	X	157877	158194	+	318	4	9	5	20
YJL134W	X	158188	159417	+	1230	1640	2219	1965	4390
YJL133C-A	X	159623	159847	-	225	177	616	168	1544
YJL133W	X	160619	161563	+	945	962	1092	1220	2701
YJL132W	X	161914	164166	+	2253	196	491	212	1033
YJL131C	X	164278	165348	-	1071	449	809	474	1544
YJL130C	X	165723	172367	-	6645	11971	13611	15667	27430
YJL129C	X	173599	177306	-	3708	2429	2953	2971	5746
YJL128C	X	178097	180103	-	2007	1635	2391	1859	4688
YJL127W-A	X	180194	180310	+	117	44	69	88	168
YJL127C-B	X	181551	181709	-	159	529	641	618	1438
YJL127C	X	182298	184220	-	1923	562	1059	788	1922
YJL126W	X	184501	185424	+	924	318	497	360	1021
YJL125C	X	185528	186679	-	1152	2075	2452	2457	5051
YJL124C	X	187126	187644	-	519	2539	3575	2976	7166
YJL123C	X	188004	189440	-	1437	4316	6130	4468	10173
YJL122W	X	189716	190243	+	528	2176	1930	2824	4130
YJL121C	X	190374	191090	-	717	2158	3313	2801	7173
YJL120W	X	191022	191345	+	324	28	24	26	81
YJL119C	X	191572	191895	-	324	7	11	10	13
YJL118W	X	191639	192298	+	660	215	325	247	645
YJL117W	X	192531	193466	+	936	2295	2964	2775	5833
YJL116C	X	193860	194873	-	1014	350	2677	454	5418
YJL115W	X	196287	197126	+	840	2015	3005	2027	5107
tA(AGC)J	X	197313	197385	-	73	0	0	0	0
YJL114W	X	197915	198595	+	681	1	8	8	20
YJL113W	X;X	198678;199000	198998;203325	+;+	4647	185	191	180	435
tD(GUC)J1	X	204735	204806	+	72	0	0	1	4
YJL112W	X	205305	207449	+	2145	1335	2305	1582	4422
YJL111W	X	207877	209529	+	1653	7188	9427	9015	17940
YJL110C	X	209922	211577	-	1656	1036	1290	1240	2383
YJL109C	X	212000	217309	-	5310	5377	5563	7246	11223
YJL108C	X	217705	218856	-	1152	393	984	512	1918
YJL107C	X	218853	220016	-	1164	223	580	304	1061
YJL106W	X	221390	223327	+	1938	117	333	147	617
YJL105W	X	225055	226737	+	1683	238	473	299	842
YJL104W	X	227327	227776	+	450	1346	1806	1535	3720
snR37	X	228094	228479	-	386	82	102	71	172
YJL103C	X	229025	230881	-	1857	227	615	235	1004
YJL102W	X	231301	233760	+	2460	476	1071	552	2270
tR(ACG)J	X	233939	234011	+	73	0	0	2	4
YJL101C	X	234320	236356	-	2037	1549	2180	1938	4554
YJL100W	X	237263	239086	+	1824	775	1264	870	2678
YJL099W	X	239414	241654	+	2241	475	995	619	1926
YJL098W	X	242082	245258	+	3177	2481	2405	3036	4756
YJL097W	X	245591	246244	+	654	1139	1691	1489	3363
YJL096W	X	246490	246975	+	486	696	949	801	1922
YJL095W	X	247255	251691	+	4437	1228	1757	1445	3399
YJL094C	X	251821	254442	-	2622	736	1398	1020	2835
YJL093C	X	254737	256812	-	2076	820	1366	1108	2808
YJL092W	X	257423	260947	+	3525	1595	2223	1898	4595
YJL091C	X	261080	262552	-	1473	824	1296	939	2476
YJL090C	X	262757	265051	-	2295	590	867	745	1755
YJL089W	X	265926	268415	+	2490	111	446	115	678
YJL088W	X	268799	269815	+	1017	261	468	297	996
YJL087C	X	270002	272485	-	2484	1138	1480	1314	2587
YJL086C	X	272478	272846	-	369	0	0	0	2
YJL085W	X	272827	274698	+	1872	793	1424	1027	2544
YJL084C	X	274862	278002	-	3141	895	1540	1078	2906
YJL083W	X	278841	280655	+	1815	469	674	477	1264
YJL082W	X	281185	283380	+	2196	1062	2357	1098	4526
YJL081C	X	283802	285271	-	1470	1866	2797	2354	5424
YJL080C	X	285558	289226	-	3669	9310	12034	11645	24500
YJL079C	X	289875	290774	-	900	1588	3075	1486	6786
YJL078C	X	291336	293981	-	2646	6221	5418	7813	11383
YJL077W-B	X	294047	294145	+	99	33	63	37	138
YJL077C	X	294666	295061	-	396	36	68	32	130
YJL077W-A	X	294799	294885	+	87	0	0	0	0
YJL076W	X	295245	298814	+	3570	3978	5002	5116	9839
YJL075C	X	298460	298876	-	417	29	37	17	56
YJL074C	X	299157	302849	-	3693	1419	1767	1830	3441
YJL073W	X	303181	305118	+	1938	1092	1637	1297	3283
YJL072C	X	305221	305862	-	642	458	650	565	1282
YJL071W	X	306132	307856	+	1725	728	1225	862	2389
YJL070C	X	307971	310637	-	2667	375	891	406	1560
YJL069C	X	310922	312706	-	1785	2623	2657	3213	5211
YJL068C	X	313016	313915	-	900	741	1683	905	3360
YJL067W	X	314084	314434	+	351	0	0	0	5
YJL066C	X	314114	314872	-	759	349	881	365	1663
YJL065C	X	315054	315557	-	504	90	127	124	294
YJL064W	X	315175	315570	+	396	0	1	0	3
YJL063C	X	315759	316475	-	717	1570	1909	1638	4299
YJL062W-A	X	316723	316980	+	258	667	1147	700	2657
YJL062W	X	317284	319776	+	2493	1057	1749	1306	3540
YJL061W	X	320016	322157	+	2142	1740	2332	2114	4431
YJL060W	X	323386	324720	+	1335	1065	2019	1246	4000
YJL059W	X	324964	326190	+	1227	282	587	378	1140
YJL058C	X	326242	327873	-	1632	258	412	346	780
YJL057C	X	328118	330121	-	2004	396	922	396	1953
YJL056C	X	330431	333073	-	2643	429	533	531	918
YJL055W	X	333357	334094	+	738	2013	2731	2338	5698
YJL054W	X	334265	335701	+	1437	1808	2707	2188	5390
YJL053W	X	335898	337037	+	1140	856	1429	1029	2780
YJL052C-A	X	337884	338003	-	120	4	2	0	13
YJL052W	X	338271	339269	+	999	280	2202	318	4664
YJL051W	X	339787	342255	+	2469	985	1850	1248	3749
YJL050W	X	342522	345743	+	3222	5486	5845	7434	11204
YJL049W	X	345973	347325	+	1353	737	1101	792	1934
YJL048C	X	347447	348637	-	1191	732	1746	955	3379
YJL047C-A	X	349044	349178	-	135	2	11	2	28
snR60	X	349130	349233	-	104	1	8	0	14
YJL047C	X	349580	352108	-	2529	719	1281	890	2306
YJL046W	X	352386	353615	+	1230	554	655	533	1417
tY(GUA)J1	X;X	354244;354297	354282;354332	+;+	75	0	0	0	2
tR(UCU)J1	X	355374	355445	+	72	1	1	0	1
tD(GUC)J2	X	355456	355527	+	72	0	4	0	9
YJL045W	X	356024	357928	+	1905	80	269	132	594
YJL044C	X	358300	359676	-	1377	1627	2288	1870	4701
YJL043W	X	360130	360903	+	774	27	44	40	99
YJL042W	X	361249	365445	+	4197	1633	2913	1928	5784
YJL041W	X;X	365784;365903	365784;368373	+;+	2472	3135	4419	3697	8763
YJL039C	X	368748	373799	-	5052	2582	3858	3559	7650
tD(GUC)J3	X	374424	374495	-	72	3	1	3	3
tR(UCU)J2	X	374506	374577	-	72	0	0	0	0
YJL038C	X	375115	375774	-	660	75	231	83	419
YJL037W	X	376662	377336	+	675	23	128	61	281
tV(AAC)J	X	378360	378433	+	74	0	0	0	1
YJL036W	X	378825	380096	+	1272	719	1404	850	2798
YJL035C	X	380249	381001	-	753	401	555	449	1302
YJL034W	X	381327	383375	+	2049	13113	27547	16137	48847
YJL033W	X	383837	386149	+	2313	3795	3736	4555	6839
YJL032W	X	386348	386662	+	315	1	0	0	0
YJL031C	X;X	386368;387436	387348;387438	-;-	984	581	1095	707	2048
YJL030W	X	387657	388247	+	591	551	931	592	1755
YJL029C	X	388385	390853	-	2469	1146	1841	1508	3640
tM(CAU)J1	X	391043	391115	-	73	0	0	0	0
YJL028W	X	391311	391646	+	336	1	11	0	21
YJL027C	X	391833	392249	-	417	11	24	18	44
YJL026W	X	392404	393603	+	1200	5571	8960	6421	17076
YJL026C-A	X	393066	393287	-	222	0	0	0	0
YJL025W	X	393967	395511	+	1545	616	1048	755	2132
YJL024C	X;X	395931;396571	396493;396592	-;-	585	582	788	682	1753
tG(GCC)J1	X	396726	396796	-	71	0	2	2	0
YJL023C	X	397355	398398	-	1044	286	496	335	880
YJL022W	X	398109	398417	+	309	1	2	2	6
YJL020C	X	398937	402410	-	3474	2020	3939	2503	7354
YJL020W-A	X	400981	401238	+	258	0	0	0	0
YJL019W	X	402897	404945	+	2049	715	918	903	1780
YJL016W	X	405588	407273	+	1686	789	1133	934	2151
YJL015C	X	407142	407426	-	285	0	0	0	3
YJL014W	X	407558	409162	+	1605	6398	8872	8288	17089
YJL013C	X	409493	411040	-	1548	625	1159	720	2197
YJL012C	X	411234	413399	-	2166	4742	3824	6283	7504
YJL011C	X	414285	414770	-	486	590	605	653	1147
tK(CUU)J	X	414966	415038	+	73	0	0	0	2
tW(CCA)J	X;X	415931;416001	415966;416036	-;-	72	0	0	0	0
YJL010C	X	417562	419562	-	2001	2609	2783	3156	5189
YJL009W	X	419855	420181	+	327	78	109	93	248
YJL008C	X	419957	421663	-	1707	6818	9289	8838	18252
YJL007C	X	422698	423012	-	315	4	3	6	5
tM(CAU)J2	X	422937	423009	+	73	0	0	0	0
YJL006C	X	423138	424109	-	972	382	622	512	1202
tL(UAA)J	X	424432	424515	-	84	13	5	8	11
YJL005W	X	425157	431237	+	6081	1878	3780	2042	7326
YJL004C	X	431589	432200	-	612	659	955	719	1929
YJL003W	X	432644	433000	+	357	270	481	301	927
YJL002C	X	433221	434651	-	1431	3644	5511	5273	12040
YJL001W	X;X	435163;435344	435227;435926	+;+	648	2951	5429	3510	10380
YJR001W	X	436802	438610	+	1809	2237	3788	2663	7622
YJR002W	X	438865	440646	+	1782	3960	3981	4800	7707
YJR003C	X	440994	442553	-	1560	1172	1396	1360	2594
YJR004C	X	442909	444861	-	1953	458	723	541	1556
YJR005W	X	445923	448025	+	2103	1390	2001	1605	3540
YJR005C-A	X	448477	448758	-	282	2	51	15	74
YJR006W	X	449202	450665	+	1464	1200	1938	1317	3735
YJR007W	X	451020	451934	+	915	5310	6401	6398	12233
YJR008W	X	452430	453446	+	1017	206	501	254	928
YJR009C	X	453683	454681	-	999	74191	96291	93469	193773
YJR010W	X	456239	457774	+	1536	1465	1254	1871	2277
YJR010C-A	X	458077	458361	-	285	587	639	556	1362
YJR011C	X	458641	459426	-	786	204	288	258	534
YJR012C	X	459795	460418	-	624	237	404	317	766
YJR013W	X	460382	461593	+	1212	668	1021	810	2003
YJR014W	X	461829	462425	+	597	3449	3984	3977	7953
YJR015W	X	462721	464253	+	1533	1884	2588	2435	5373
YJR016C	X	464451	466208	-	1758	27427	34487	34524	70752
YJR017C	X	466521	467033	-	513	1026	1358	1097	2647
YJR018W	X	466786	467148	+	363	1	0	3	0
YJR019C	X	467232	468281	-	1050	270	491	322	1080
YJR020W	X	468001	468333	+	333	4	4	2	11
YJR021C	X;X	468555;469264	469183;469579	-;-	945	351	606	419	1099
YJR022W	X	469784	470113	+	330	0	0	0	0
YJR023C	X	469804	470205	-	402	0	1	1	0
YJR024C	X	470230	470964	-	735	1112	1283	1318	2809
YJR025C	X	471138	471671	-	534	3912	5748	4254	11361
YJR027W	X;X	472760;474063	474061;478028	+;+	5268	8871	16594	9669	28327
YJR026W	X	472760	474082	+	1323	0	0	0	0
YJR029W	X;X	478344;479646	479644;483612	+;+	5268	2204	3308	2631	6095
YJR028W	X	478344	479666	+	1323	0	0	0	0
YJR030C	X	483959	486196	-	2238	846	1054	984	2081
YJR031C	X	486586	490812	-	4227	1360	1870	1717	3641
YJR032W	X	491081	492262	+	1182	1060	1649	1375	3050
YJR033C	X	492378	496451	-	4074	691	1449	901	2919
YJR034W	X	496683	497009	+	327	292	575	304	1166
YJR035W	X	497355	500612	+	3258	733	1263	868	2395
YJR036C	X	500713	503391	-	2679	267	383	305	685
YJR037W	X	503102	503485	+	384	2	3	2	13
YJR038C	X	503710	504072	-	363	4	8	6	22
YJR039W	X	503936	507301	+	3366	530	799	589	1597
YJR040W	X	507746	510085	+	2340	970	1516	1149	2915
YJR041C	X	510239	513763	-	3525	1661	2127	2333	4038
YJR042W	X	514055	516289	+	2235	2578	3634	3175	7107
YJR043C	X	516461	517513	-	1053	707	979	869	2017
tM(CAU)J3	X	517813	517884	-	72	0	0	0	0
YJR044C	X	518763	519185	-	423	732	1716	869	3021
YJR045C	X	519638	521602	-	1965	21763	40500	26497	80077
YJR046W	X	522048	523862	+	1815	1818	3084	2382	6037
tS(AGA)J	X	524012	524093	-	82	0	0	8	2
YJR047C	X	524908	525381	-	474	215	149	255	328
YJR048W	X	526335	526664	+	330	4677	7768	5206	17139
YJR049C	X	526884	528476	-	1593	1334	2202	1604	3974
YJR050W	X	528697	529404	+	708	585	766	546	1365
YJR051W	X	529861	531366	+	1506	1009	1506	1403	2994
tG(GCC)J2	X	531828	531898	+	71	0	5	0	5
YJR052W	X	532062	533759	+	1698	563	952	704	1782
YJR053W	X	534027	535751	+	1725	268	359	341	806
YJR054W	X	536056	537549	+	1494	935	1223	1077	2314
tR(CCU)J	X	538555	538626	+	72	1	1	3	2
YJR055W	X	538772	539266	+	495	295	332	352	732
tD(GUC)J4	X	541508	541579	+	72	0	1	2	3
YJR056C	X	541792	542502	-	711	508	651	527	1329
tY(GUA)J2	X;X	542956;543006	542991;543044	-;-	75	0	2	0	1
YJR057W	X	544062	544712	+	651	651	919	660	1824
YJR058C	X	544732	545175	-	444	668	896	688	1864
YJR059W	X	545787	548243	+	2457	1560	3001	1759	5611
YJR060W	X	548759	549814	+	1056	1722	2065	2074	4205
YJR061W	X	550511	553318	+	2808	636	1025	772	2094
YJR062C	X	553476	554849	-	1374	499	828	574	1578
YJR063W	X	555195	555572	+	378	1249	1479	1630	3319
YJR064W	X	555914	557602	+	1689	5477	7168	6981	14508
YJR065C	X	557809	559158	-	1350	3467	6757	4054	13181
YJR066W	X	559416	566828	+	7413	1486	1927	1798	3796
YJR067C	X	567019	567444	-	426	545	557	559	1248
YJR068W	X	567643	568704	+	1062	1163	1738	1485	3457
YJR069C	X	568806	569399	-	594	1712	2021	2017	4035
YJR070C	X	569621	570598	-	978	7313	5996	9008	12572
YJR071W	X	570405	570773	+	369	12	21	4	60
YJR072C	X	570967	572124	-	1158	2936	4527	3655	8191
YJR073C	X	572315	572935	-	621	569	1065	710	2435
YJR074W	X	573095	573751	+	657	458	758	599	1634
YJR075W	X	573981	575171	+	1191	2472	3741	3139	7642
YJR076C	X	575354	576601	-	1248	2452	3537	2904	7021
YJR077C	X	577255	578190	-	936	4931	6796	6082	14946
YJR078W	X	578860	580221	+	1362	262	902	289	1697
YJR079W	X;X	580205;581053	580347;581239	+;+	330	8	41	8	42
YJR080C	X	580432	581616	-	1185	832	1522	986	3089
YJR082C	X	581914	582255	-	342	446	588	535	1452
YJR083C	X	582608	583537	-	930	464	646	461	1205
YJR084W	X	583733	585004	+	1272	719	1152	851	2344
YJR085C	X	585120	585437	-	318	1211	2242	1457	5075
YJR086W	X	586068	586400	+	333	304	471	343	1283
YJR087W	X	586400	586750	+	351	41	55	48	86
YJR088C	X	586495	587373	-	879	716	1081	881	2147
YJR089W	X	587718	590582	+	2865	849	1276	1070	2422
YJR090C	X	590872	594327	-	3456	1510	2442	1866	4656
YJR091C	X	595061	598336	-	3276	1334	2763	1699	5057
YJR092W	X	598735	603078	+	4344	2003	3184	2554	6529
YJR093C	X	603220	604203	-	984	830	1153	911	2077
YJR094C	X	604569	605651	-	1083	179	324	188	535
YJR094W-A	X;X	608305;608582	608306;608858	+;+	279	10677	11593	14149	26989
YJR095W	X	609773	610741	+	969	35	134	29	213
YJR096W	X	611195	612043	+	849	428	1006	546	1911
YJR097W	X	612413	612931	+	519	264	301	296	701
YJR098C	X	613186	615156	-	1971	445	700	512	1399
YJR099W	X	615576	616286	+	711	504	943	560	1732
YJR100C	X	616351	617334	-	984	537	2010	555	3707
tL(UAG)J	X;X	617919;617976	617956;618019	+;+	82	1	0	0	0
YJR101W	X	618234	619034	+	801	1468	1736	1730	3639
YJR102C	X	619157	619765	-	609	297	566	389	1038
YJR103W	X	620754	622490	+	1737	879	1338	1107	2958
YJR104C	X	622550	623014	-	465	9641	24047	14095	51491
YJR105W	X	623581	624603	+	1023	9613	13736	12790	29091
YJR106W	X	624838	627015	+	2178	310	645	451	1354
YJR107W	X	627340	628326	+	987	496	984	547	1841
YJR108W	X	628712	629083	+	372	38	98	38	182
YJR109C	X	629585	632941	-	3357	6749	11935	9072	23599
YJR110W	X	633615	635681	+	2067	624	1335	773	2299
YJR111C	X	635855	636706	-	852	715	1013	888	2137
YJR112W	X	637030	637635	+	606	526	684	570	1429
YJR112W-A	X;X	637790;637859	637809;638168	+;+	330	275	445	327	987
YJR113C	X	638232	638975	-	744	705	1102	774	2233
YJR114W	X	638659	639051	+	393	19	35	20	47
YJR115W	X	639942	640451	+	510	57	129	85	232
YJR116W	X	640825	641664	+	840	688	805	852	1755
YJR117W	X	642007	643368	+	1362	2802	5477	3560	10244
YJR118C	X	643490	644101	-	612	874	1140	1037	2232
YJR119C	X	644304	646490	-	2187	234	487	298	1008
YJR120W	X	647126	647476	+	351	64	76	97	268
YJR121W	X	647607	649142	+	1536	13190	22840	15736	47347
YJR122W	X	649776	651269	+	1494	624	1104	727	2100
YJR123W	X	651901	652578	+	678	69395	79530	90143	163185
YJR124C	X	652892	654238	-	1347	1059	1209	1535	2590
YJR125C	X	654737	655963	-	1227	1765	3295	1988	6410
YJR126C	X	656254	658689	-	2436	1420	2395	1858	4680
YJR127C	X	658917	663059	-	4143	1852	3052	2315	6135
YJR128W	X	662921	663280	+	360	26	45	49	91
snR3	X	663749	663942	+	194	99	95	76	116
YJR129C	X	664000	665019	-	1020	245	276	269	568
YJR130C	X	665218	667137	-	1920	1060	2092	1179	3762
YJR131W	X	667644	669293	+	1650	495	633	598	1265
YJR132W	X	669522	672668	+	3147	1898	2508	2344	5043
YJR133W	X	672991	673620	+	630	851	1030	1096	2306
YJR134C	X	673729	675852	-	2124	1529	2332	1680	4178
YJR135C	X	676059	676778	-	720	179	266	183	480
